class,Run,abax revision,ADV in site,ADV kills,ADV participants,ADV shots taken,demo multi layer door 4 breach time,demo multi layer door 5 breach time,demo multi layer door 6 breach time,direct fire fratricide deaths,first detection (s),first response,KEPS,proforce deaths
Loss,13,9999,8,2,0,46,466.05069,543.595764,132.803909,0,54.867271,54.867271,8.59,2
Win,14,9999,8,1,0,52,235.751816,313.522125,137.162903,0,55.15926,55.15926,9.55,1
Win,15,9999,8,0,0,30,291.889771,385.886932,138.876282,0,54.535896,54.535896,9.88,0
Win,16,9999,8,2,0,23,253.827316,329.614716,136.91246,0,53.037476,53.037476,9.4,2
Loss,17,9999,8,1,0,15,235.632248,313.459625,136.724594,0,55.658306,55.658306,8.67,1
Loss,18,9999,8,0,0,27,366.405701,446.200287,136.092087,0,56.451763,56.451763,8.36,0
Loss,19,9999,8,2,0,28,279.900696,355.612183,137.125168,0,54.397438,54.397438,8.6,2
Loss,20,9999,8,1,0,14,250.366226,326.185547,135.32106,0,57.243622,57.243622,8.83,1
Win,21,9999,8,2,0,48,236.205124,335.880066,134.200348,0,56.242222,56.242222,8.63,2
Loss,22,9999,8,1,0,19,351.371063,437.628479,131.344482,0,52.364864,52.364864,8.09,1
Win,23,9999,8,2,0,21,270.588745,350.223175,138.420364,0,58.971397,58.971397,8.53,2
Win,24,9999,8,2,0,72,495.737823,702.032043,131.116089,0,54.087227,54.087227,8.63,2
Win,25,9999,8,1,0,53,233.953064,311.166626,136.48967,0,54.781994,54.781994,9.16,1
Loss,26,9999,8,1,0,9,248.021164,323.550415,135.003189,0,55.200001,55.200001,7.85,1
Win,27,9999,8,2,0,25,231.437378,335.767639,130.822647,0,54.372192,54.372192,8.98,2
Loss,28,9999,8,2,0,7,234.066986,316.622589,133.115021,0,54.361305,54.361305,7.76,2
Loss,29,9999,8,1,0,3,238.670273,321.538574,130.975891,0,54.594498,54.594498,8.7,1
Win,30,9999,8,2,0,40,262.663513,651.655945,136.142319,0,57.132584,57.132584,13.49,2
Loss,31,9999,8,0,0,0,241.105682,321.387268,136.615891,0,57.683434,57.683434,9.86,0
Loss,32,9999,8,2,0,33,361.187714,441.812134,138.042969,0,57.396336,57.396336,12.05,2
