class,demo multi layer door 4 breach time,demo multi layer door 5 breach time,demo multi layer door 6 breach time,first detection (s),first response
Loss,466.05069,543.595764,132.803909,54.867271,54.867271
Win,235.751816,313.522125,137.162903,55.15926,55.15926
Win,291.889771,385.886932,138.876282,54.535896,54.535896
Win,253.827316,329.614716,136.91246,53.037476,53.037476
Loss,235.632248,313.459625,136.724594,55.658306,55.658306
Loss,366.405701,446.200287,136.092087,56.451763,56.451763
Loss,279.900696,355.612183,137.125168,54.397438,54.397438
Loss,250.366226,326.185547,135.32106,57.243622,57.243622
Win,236.205124,335.880066,134.200348,56.242222,56.242222
Loss,351.371063,437.628479,131.344482,52.364864,52.364864
Win,270.588745,350.223175,138.420364,58.971397,58.971397
Win,495.737823,702.032043,131.116089,54.087227,54.087227
Win,233.953064,311.166626,136.48967,54.781994,54.781994
Loss,248.021164,323.550415,135.003189,55.200001,55.200001
Win,231.437378,335.767639,130.822647,54.372192,54.372192
Loss,234.066986,316.622589,133.115021,54.361305,54.361305
Loss,238.670273,321.538574,130.975891,54.594498,54.594498
Win,262.663513,651.655945,136.142319,57.132584,57.132584
Loss,241.105682,321.387268,136.615891,57.683434,57.683434
Loss,361.187714,441.812134,138.042969,57.396336,57.396336
